JJJJ MM DD HH MM T2m T30m TF2m TF30m V DIR N GLOB DIFF SON P
2018 12 1 1 29 5.03 4.94 4.99 4.94 3.99 267.0 0.000 0.00 0.00 0.00 956.8
2018 12 1 1 30 5.03 4.94 4.99 4.94 2.98 266.0 0.000 0.00 0.00 0.00 956.8
2018 12 1 1 31 5.04 4.94 5.00 4.94 2.97 272.0 0.000 0.00 0.00 0.00 956.8
2018 12 1 1 32 5.03 4.94 4.99 4.94 2.90 266.0 0.000 0.00 0.00 0.00 956.8
2018 12 1 1 33 5.03 4.94 4.99 4.94 4.78 262.0 0.000 0.00 0.00 0.00 956.8
2018 12 1 1 34 5.04 4.95 5.00 4.95 4.03 261.0 0.000 0.00 0.00 0.00 956.8
2018 12 1 1 35 5.05 4.97 5.01 4.97 2.85 253.0 0.000 0.00 0.00 0.00 956.8
2018 12 1 1 36 5.06 4.98 5.01 4.98 3.50 262.0 0.000 0.00 0.00 0.00 956.8
2018 12 1 1 37 5.08 4.98 5.02 4.98 3.19 263.0 0.000 0.00 0.00 0.00 956.9
2018 12 1 1 38 5.08 4.99 5.03 4.99 2.63 270.0 0.000 0.00 0.00 0.00 956.9
2018 12 1 1 39 5.09 4.99 5.04 4.99 3.06 260.0 0.000 0.00 0.00 0.00 956.9
2018 12 1 1 40 5.10 5.00 5.05 5.00 3.40 264.0 0.000 0.00 0.00 0.00 956.9
2018 12 1 1 41 5.09 5.00 5.03 5.00 2.97 260.0 0.000 0.00 0.00 0.00 956.9
2018 12 1 1 42 5.08 5.00 5.02 5.00 2.58 251.0 0.000 0.00 0.00 0.00 956.9
2018 12 1 1 43 5.08 5.01 5.02 5.01 3.38 262.0 0.000 0.00 0.00 0.00 956.9
2018 12 1 1 44 5.10 5.01 5.04 5.01 4.45 258.0 0.000 0.00 0.00 0.00 956.9
2018 12 1 1 45 5.11 5.03 5.05 5.03 3.36 263.0 0.000 0.00 0.00 0.00 957.0
2018 12 1 1 46 5.12 5.03 5.05 5.03 3.27 265.0 0.000 0.00 0.00 0.00 957.0
2018 12 1 1 47 5.12 5.03 5.05 5.03 3.46 266.0 0.000 0.00 0.00 0.00 957.0
